2019,2018,2017,2016,2015,2014
GM Cruise May 4  2019 (1) (PDF),,,,,
GM Cruise May 4  2019 (2) (PDF),,,,,
Lyft May 2  2019 (PDF),,,,,
GM Cruise May 2  2019 (PDF),,,,,
GM Cruise April 14  2019 (1) (PDF),,,,,
GM Cruise April 14  2019 (2) (PDF),,,,,
Lyft April 11  2019 (PDF),,,,,
GM Cruise April 10  2019 (1) (PDF),,,,,
GM Cruise April 10  2019 (2) (PDF),,,,,
GM Cruise April 3  2019 (PDF),,,,,
Waymo March 26  2019 (PDF),,,,,
GM Cruise March 24  2019 (PDF),,,,,
GM Cruise March 23  2019 (PDF),,,,,
Lyft March 12  2019 (PDF),,,,,
GM Cruise March 8  2019 (PDF),,,,,
Lyft March 6  2019 (PDF),,,,,
Lyft February 28  2019 (PDF),,,,,
GM Cruise February 27  2019 (PDF),,,,,
Waymo February 26  2019 (PDF),,,,,
GM Cruise February 14  2019 (PDF),,,,,
Waymo February 10  2019 (PDF),,,,,
Waymo February 6  2019 (PDF),,,,,
Waymo January 26  2019 (PDF),,,,,
Aurora Innovation January 10  2019 (PDF),,,,,
GM Cruise January 10  2019 (PDF),,,,,
GM Cruise January 7  2019 (PDF),,,,,
